bandit0,bandit,?,0,bandit0@bandit.labs.overthewire.org,2220,34,0,0
bandit1,bandit,?,0,bandit1@bandit.labs.overthewire.org,2220,34,0,0
bandit2,bandit,?,0,bandit2@bandit.labs.overthewire.org,2220,34,0,0
bandit3,bandit,?,0,bandit3@bandit.labs.overthewire.org,2220,34,0,0
bandit4,bandit,?,0,bandit4@bandit.labs.overthewire.org,2220,34,0,0
bandit5,bandit,?,0,bandit5@bandit.labs.overthewire.org,2220,34,0,0
bandit6,bandit,?,0,bandit6@bandit.labs.overthewire.org,2220,34,0,0
bandit7,bandit,?,0,bandit7@bandit.labs.overthewire.org,2220,34,0,0
bandit8,bandit,?,0,bandit8@bandit.labs.overthewire.org,2220,34,0,0
bandit9,bandit,?,0,bandit9@bandit.labs.overthewire.org,2220,34,0,0
bandit10,bandit,?,0,bandit10@bandit.labs.overthewire.org,2220,34,0,0
bandit11,bandit,?,0,bandit11@bandit.labs.overthewire.org,2220,34,0,0
bandit12,bandit,?,0,bandit12@bandit.labs.overthewire.org,2220,34,0,0
bandit13,bandit,?,0,bandit13@bandit.labs.overthewire.org,2220,34,0,0
bandit14,bandit,?,0,bandit14@bandit.labs.overthewire.org,2220,34,0,0
bandit15,bandit,?,0,bandit15@bandit.labs.overthewire.org,2220,34,0,0
bandit16,bandit,?,0,bandit16@bandit.labs.overthewire.org,2220,34,0,0
bandit17,bandit,?,0,bandit17@bandit.labs.overthewire.org,2220,34,0,0
bandit18,bandit,?,0,bandit18@bandit.labs.overthewire.org,2220,34,0,0
bandit19,bandit,?,0,bandit19@bandit.labs.overthewire.org,2220,34,0,0
bandit20,bandit,?,0,bandit20@bandit.labs.overthewire.org,2220,34,0,0
bandit21,bandit,?,0,bandit21@bandit.labs.overthewire.org,2220,34,0,0
bandit22,bandit,?,0,bandit22@bandit.labs.overthewire.org,2220,34,0,0
bandit23,bandit,?,0,bandit23@bandit.labs.overthewire.org,2220,34,0,0
bandit24,bandit,?,0,bandit24@bandit.labs.overthewire.org,2220,34,0,0
bandit25,bandit,?,0,bandit25@bandit.labs.overthewire.org,2220,34,0,0
